*,address_raw,city,state,zipcode,unit,property_type,bedrooms,bathrooms,sqft,rent,price_per_sqft,listing_url,K_Q_Overall,B_Q_Overall,Flooring_Q,Paint_Q,Lighting_Q,Window_Q,Appliance_Q,Quality_Score_100,K_Size_1_3,B_Size_1_3,B_Layout,Unit_Size_1_3_Auto,Size_Score_100,C_Balcony_Deck,C_Heating,C_AC,C_Washer_Dryer,C_Parking,C_Dishwasher,C_Microwave,C_Disposal,C_Hardwood,C_Updated_Kitchen,C_Updated_Bath,C_Outdoor_Space,Completeness_Score_100,WalkScore,TransitScore,BikeScore,Location_Score_100,Market_Score,Market_Grade,Luxury_Gap,Rent_per_Score,Opportunity_Flag,Notes,description_text
1,"2232 Haste Street, Berkeley, CA 94704",Berkeley,CA,94704,Street,apartment,2,1,600,"$2,895",$4.83,https://sfbay.craigslist.org/eby/apa/d/berkeley-br-ba-available-open-house/7920507353.html,1,2,1,1,2,2,2,52.4,,,,1,33.3,,,,No,No,No,,,No,Yes,Yes,,33.3,96,69,96,87.9,32.4,D,66.7,$89.40,Review,,
1,"2325 McKinley Ave, Berkeley, Ca., Berkeley, CA 94703",Berkeley,CA,94703,,apartment,2,1,,"$3,495",,https://sfbay.craigslist.org/eby/apa/d/berkeley-remodeled-loft-style-apartment/7922742510.html,3,3,3,3,3,2,3,95.2,,,,,,Yes,,,No,,Yes,,,Yes,Yes,Yes,Yes,85.7,88,70,97,84.4,67.9,C,14.3,$51.51,Review,,
1,"22160 Center Street, Castro Valley, CA 94546",Castro Valley,CA,94546,,apartment,2,1,977,"$2,655",$2.72,https://sfbay.craigslist.org/eby/apa/d/hayward-bd-lush-landscaping-located-in/7921863726.html,3,2,2,2,2,2,3,76.2,,,,2,66.7,Yes,,,No,Yes,Yes,,,No,Yes,Yes,Yes,75.0,71,38,42,55.3,58.7,C,25.0,$45.24,Review,,
1,"Hearst, Berkeley, CA 94702",Berkeley,CA,94702,,apartment,2,1,802,"$3,700",$4.61,https://sfbay.craigslist.org/eby/apa/d/berkeley-3700x-2br-berkeley-garden/7922738184.html,2,2,2,2,2,2,2,66.7,,,,2,66.7,Yes,,,No,,,,,Yes,,,Yes,75.0,89,64,99,83.5,55.8,C,25.0,$66.27,Review,,
1,"20019 San Miguel Ave, Castro Valley, CA 94546",Castro Valley,CA,94546,,apartment,2,1,900,"$2,550",$2.83,https://sfbay.craigslist.org/eby/apa/d/hayward-live-in-the-of-castro-valley/7922735173.html,2,2,2,3,2,2,2,71.4,,,,2,66.7,Yes,,,No,Yes,Yes,,,No,No,Yes,Yes,62.5,80,37,57,62.5,53.5,D,37.5,$47.65,Review,,
1,"apgar, oakland, CA 94608",Oakland,CA,94608,,apartment,2,1,700,"$2,200",$3.14,https://sfbay.craigslist.org/eby/apa/d/emeryville-2br-1ba-927-apgar-st-oakland/7922722695.html,2,2,2,1,3,2,2,66.7,,,,2,66.7,,,,No,Yes,Yes,,,Yes,Yes,Yes,,83.3,91,74,99,87.5,58.3,C,16.7,$37.71,Review,,
1,"1815 Spruce Street, Berkeley, CA 94709",Berkeley,CA,94709,,apartment,2,1,1000,"$4,500",$4.50,https://sfbay.craigslist.org/eby/apa/d/berkeley-huge-and-2-block-from-uc/7922720082.html,1,1,2,1,1,2,2,47.6,,,,3,100.0,,,,No,,No,,,Yes,No,No,,20.0,95,70,81,84.7,40.3,D,80.0,$111.70,Review,,
1,"3814 39th Ave #106, Oakland, CA 94619",Oakland,CA,94619,106,apartment,2,1,,"$2,000",,https://sfbay.craigslist.org/eby/apa/d/oakland-coming-soon-beds-bath-in-laurel/7921091338.html,2,2,1,1,2,2,2,57.1,,,,,,,,,No,Yes,Yes,,,No,Yes,Yes,,66.7,87,50,62,70.9,46.4,D,33.3,$43.08,Review,,
1,"3814 39th Ave #204, Oakland, CA 94619",Oakland,CA,94619,204,apartment,2,1,,"$2,000",,https://sfbay.craigslist.org/eby/apa/d/oakland-coming-soon-beds-bath-in-laurel/7919766039.html,2,2,1,1,2,2,2,57.1,,,,,,,,,No,Yes,Yes,,,No,Yes,Yes,,66.7,87,50,62,70.9,46.4,D,33.3,$43.08,Review,,
1,"3806 39th Ave #3, Oakland, CA 94619",Oakland,CA,94619,3,apartment,2,1,,"$2,250",,https://sfbay.craigslist.org/eby/apa/d/oakland-bedroom-apartment-with-garage/7922712905.html,3,2,2,3,2,3,3,85.7,,,,,,,,,No,Yes,No,,,No,Yes,Yes,,50.0,89,50,64,72.3,50.9,D,50.0,$44.21,Feature-completeness gap,,
1,"3806 39th Ave #7, Oakland, CA 94619",Oakland,CA,94619,7,apartment,2,1,,"$2,250",,https://sfbay.craigslist.org/eby/apa/d/oakland-large-bedroom-apartment-unit/7918211181.html,3,2,2,3,2,3,3,85.7,,,,,,No,,,No,Yes,No,,,No,Yes,Yes,No,37.5,89,50,64,72.3,46.2,D,62.5,$48.70,Feature-completeness gap,,
1,"1319 159th Avenue, San Leandro, CA 94578",San Leandro,CA,94578,,apartment,2,1,800,"$2,915",$3.64,https://sfbay.craigslist.org/eby/apa/d/san-leandro-limited-time-one-month-free/7922680538.html,2,,2,2,2,2,2,66.7,,,,2,66.7,Yes,,,No,,Yes,,,No,Yes,,Yes,66.7,64,55,30,54.5,53.3,D,33.3,$54.66,Review,,
1,"13897-13931 Doolittle Dr, San Leandro, CA 94577",San Leandro,CA,94577,,apartment,2,1,750,"$2,383",$3.18,https://sfbay.craigslist.org/eby/apa/d/san-leandro-two-bedroom-available-for/7922667508.html,3,,2,2,2,2,2,72.2,,,,2,66.7,,,,No,,No,,,No,Yes,,,25.0,67,30,72,56.9,42.5,D,75.0,$56.07,Feature-completeness gap,,
1,"777 Taylor Ave #307, Alameda, CA 94501",Alameda,CA,94501,307,apartment,2,1,750,"$2,395",$3.19,https://sfbay.craigslist.org/eby/apa/d/alameda-bedroom-top-floor-elevator/7922659438.html,2,2,2,2,2,2,2,66.7,,,,2,66.7,Yes,,,No,Yes,No,,,No,Yes,No,Yes,50.0,92,49,83,77.3,48.3,D,50.0,$49.55,Review,,
